City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
287,Cocorit,27.5833,-109.9667,299.15,19,1,3.09,MX,clear sky
288,Peruibe,-24.32,-46.9983,294.93,87,41,2.76,BR,scattered clouds
289,Tazovskiy,67.4667,78.7,241.17,86,69,4.52,RU,broken clouds
290,Kamennogorsk,60.9545,29.1339,260.37,88,53,1.34,RU,broken clouds
291,Meulaboh,4.1363,96.1285,297.49,91,83,2.68,ID,broken clouds
292,Plettenberg Bay,-34.0527,23.3716,292.94,75,18,3.05,ZA,few clouds
293,Diveyevo,55.0433,43.2418,250,90,100,4.28,RU,overcast clouds
294,Bima,-8.4667,118.7167,300.45,77,84,1.02,ID,broken clouds
295,Tolaga Bay,-38.3667,178.3,291.79,58,100,3.74,NZ,overcast clouds
296,Hong Gai,20.956,107.0946,290.15,94,75,1.54,VN,mist
297,Razole,16.4833,81.8333,289.52,91,40,1.8,IN,scattered clouds
298,Astoria,46.1879,-123.8313,281.15,93,90,6.17,US,overcast clouds
299,Lasa,46.6166,10.7002,277.59,100,90,5.66,IT,light rain
300,Portland,45.5234,-122.6762,281.48,87,90,8.23,US,light intensity drizzle
301,Kuito,-12.3833,16.9333,289.32,95,100,3.39,AO,light rain
302,Urengoy,65.9667,78.3667,246.02,87,92,5.39,RU,overcast clouds
303,Gamba,-2.65,10,299.05,87,100,0.68,GA,light rain
304,Pavelets,53.7883,39.246,255.37,68,98,5.21,RU,overcast clouds
305,Borba,-4.3878,-59.5939,297.34,96,91,1.21,BR,overcast clouds
306,Vao,-22.6667,167.4833,298.72,79,0,1.45,NC,clear sky
307,Flin Flon,54.7682,-101.865,242.15,62,1,3.6,CA,clear sky
308,Remedios,22.4947,-79.5458,301.15,57,20,2.06,CU,few clouds
309,Varhaug,58.6147,5.6457,263.15,78,0,4,NO,clear sky
310,Okhotsk,59.3833,143.3,254.28,86,46,8.06,RU,scattered clouds
311,Tuatapere,-46.1333,167.6833,294.86,47,0,1.45,NZ,clear sky
312,Yulara,-25.2406,130.9889,299.15,29,0,8.23,AU,clear sky
313,Constitucion,-35.3333,-72.4167,288.62,87,52,2.68,CL,broken clouds
314,Waipawa,-41.4122,175.5153,295.37,67,98,4.63,NZ,overcast clouds
315,Khash,28.2211,61.2158,279.16,58,0,0.87,IR,clear sky
316,Curup,-3.4667,102.5333,293.35,88,88,1.36,ID,overcast clouds
317,Zhanaozen,43.3,52.8,273.49,85,40,2.84,KZ,scattered clouds
318,Nara,34.6851,135.8049,282.59,87,0,1.54,JP,clear sky
319,Pozarevac,44.6153,21.1825,285.15,58,0,1.03,RS,clear sky
320,Geraldton,-28.7667,114.6,294.15,83,75,11.32,AU,light rain
321,Bayburt,40.2589,40.2278,265.1,87,8,0.46,TR,clear sky
322,Gambela,8.25,34.5833,297.2,21,43,0.97,ET,scattered clouds
323,Moose Factory,51.2585,-80.6094,254.15,71,90,4.63,CA,light snow
324,Chengde,40.9725,117.9361,266.74,79,4,3.01,CN,clear sky
325,Santa Maria,-29.6842,-53.8069,295.15,78,0,0.51,BR,clear sky
326,Altay,47.8667,88.1167,267.15,86,57,1.94,CN,broken clouds
327,Oksfjord,70.2396,22.3479,270.15,80,90,5.14,NO,snow
328,Hamilton,39.1834,-84.5333,272.59,57,86,0.45,US,overcast clouds
329,Otavi,-19.65,17.3333,293.53,70,99,2.84,NA,overcast clouds
330,Laguna,38.421,-121.4238,291.48,48,1,2.06,US,clear sky
331,Kaeo,-35.1,173.7833,294.82,72,99,2.68,NZ,overcast clouds
332,Sabang,5.8933,95.3214,301.31,73,58,6.87,ID,broken clouds
333,Asau,46.4333,26.4,270.37,74,100,1.64,RO,overcast clouds
334,Ancud,-41.8697,-73.8203,296.15,43,0,3.6,CL,clear sky
335,Sitka,57.0531,-135.33,275.15,60,40,8.23,US,scattered clouds
336,Coos Bay,43.3665,-124.2179,285.93,76,90,1.4,US,overcast clouds
337,Vila Velha,-20.3297,-40.2925,301.48,83,75,3.6,BR,light rain
338,Lac Du Bonnet,50.2536,-96.0612,242.47,86,100,3.77,CA,overcast clouds
339,Honiara,-9.4333,159.95,299.07,86,100,4.6,SB,moderate rain
340,Huilong,31.8111,121.655,284.26,83,0,1.37,CN,clear sky
341,Arcos,-20.2819,-45.5394,294.4,90,38,1.8,BR,scattered clouds
342,Deputatskiy,69.3,139.9,236.28,84,1,0.76,RU,clear sky
343,Garowe,8.4054,48.4845,294.16,79,34,6.09,SO,scattered clouds
344,Caaguazu,-25.45,-56.0167,291.29,86,0,1.83,PY,clear sky
345,Mastic Beach,40.7668,-72.8521,277.59,48,1,4.63,US,clear sky
346,Tambura,5.6,27.4667,291.44,26,4,2.61,SS,clear sky
347,Linden,6,-58.3,299.15,83,40,4.12,GY,scattered clouds
