City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
361,Matara,5.9485,80.5353,83.61,70,82,3.6,LK,2021-02-15 03:33:13
362,Rudbar,30.15,62.6,57.33,34,0,7.11,AF,2021-02-15 03:30:22
363,Nowa Sol,51.8033,15.717,19.0,87,66,4.12,PL,2021-02-15 03:33:14
364,Kaka,37.3482,59.6143,52.05,45,0,5.61,TM,2021-02-15 03:32:27
365,Kuybyshevo,47.8123,38.9073,16.61,90,1,3.62,RU,2021-02-15 03:33:14
366,Polunochnoye,60.8697,60.4153,-24.47,87,53,3.71,RU,2021-02-15 03:33:14
367,Chunskiy,56.0815,99.6342,-8.93,87,8,1.57,RU,2021-02-15 03:33:15
368,Benguela,-12.5763,13.4055,71.91,77,79,4.36,AO,2021-02-15 03:33:15
369,Soyo,-6.1349,12.3689,79.57,81,100,7.45,AO,2021-02-15 03:33:15
370,Harper,4.375,-7.7169,78.08,90,71,5.21,LR,2021-02-15 03:33:15
371,Tonota,-21.4833,27.4833,69.57,82,41,2.75,BW,2021-02-15 03:33:15
372,Kavieng,-2.5744,150.7967,85.06,71,5,9.48,PG,2021-02-15 03:33:15
373,Dubti,11.7361,41.0853,72.23,41,0,6.04,ET,2021-02-15 03:33:16
374,Turukhansk,65.8167,87.9833,-23.53,79,64,15.64,RU,2021-02-15 03:33:16
375,Vostok,46.4856,135.8833,14.11,96,100,5.7,RU,2021-02-15 03:33:16
376,Bedesa,8.9,40.7833,61.45,37,0,0.83,ET,2021-02-15 03:33:17
377,Fortuna,40.5982,-124.1573,48.99,100,90,16.11,US,2021-02-15 03:33:17
378,Altay,47.8667,88.1167,20.37,81,0,0.83,CN,2021-02-15 03:33:17
379,Sorland,67.667,12.6934,35.35,84,6,7.47,NO,2021-02-15 03:33:17
380,Hope,33.6671,-93.5916,21.0,71,100,5.01,US,2021-02-15 03:30:09
381,Alyangula,-13.8483,136.4192,89.6,62,69,11.5,AU,2021-02-15 03:33:18
382,Hami,42.8,93.45,37.31,65,24,2.64,CN,2021-02-15 03:31:00
383,Ambilobe,-13.2,49.05,75.31,91,100,2.08,MG,2021-02-15 03:33:18
384,Beringovskiy,63.05,179.3167,-1.93,87,77,19.55,RU,2021-02-15 03:33:18
385,Quthing,-30.4,27.7003,62.33,79,24,1.16,LS,2021-02-15 03:33:18
386,Belaya Gora,68.5333,146.4167,-17.7,88,96,7.9,RU,2021-02-15 03:33:18
387,Elizabeth City,36.2946,-76.2511,39.2,93,90,18.41,US,2021-02-15 03:33:19
388,Baherden,38.4362,57.4316,53.08,43,82,3.47,TM,2021-02-15 03:33:19
389,Birin,26.8865,88.0718,61.2,50,2,4.41,NP,2021-02-15 03:33:19
390,Tumpat,6.1978,102.171,84.2,65,20,5.75,MY,2021-02-15 03:33:19
391,Fernley,39.608,-119.2518,43.0,66,100,7.0,US,2021-02-15 03:33:19
392,Kirakira,-10.4544,161.9205,84.72,76,22,11.63,SB,2021-02-15 03:33:19
393,Tarko-Sale,64.9225,77.785,-11.99,79,100,26.49,RU,2021-02-15 03:33:19
394,Olafsvik,64.8945,-23.7142,40.44,80,100,10.33,IS,2021-02-15 03:33:20
395,Aktau,43.65,51.2,37.4,87,75,6.71,KZ,2021-02-15 03:33:20
396,Boa Vista,2.8197,-60.6733,80.6,69,40,11.5,BR,2021-02-15 03:33:20
397,Cherskiy,68.75,161.3,-4.77,91,94,2.46,RU,2021-02-15 03:33:20
398,Charleville-Mezieres,49.7667,4.7167,33.01,92,97,11.99,FR,2021-02-15 03:33:21
399,Bardiyah,31.7561,25.0865,56.55,81,19,17.2,LY,2021-02-15 03:33:21
400,Pasuquin,18.3328,120.6177,80.6,65,20,6.91,PH,2021-02-15 03:33:21
401,Orocue,4.7912,-71.3354,80.83,64,70,6.02,CO,2021-02-15 03:33:22
402,Portland,45.5234,-122.6762,33.01,93,90,17.27,US,2021-02-15 03:33:07
403,Rio Grande,-32.035,-52.0986,68.0,97,100,3.22,BR,2021-02-15 03:33:22
404,Pravia,43.4906,-6.1508,57.0,71,0,4.61,ES,2021-02-15 03:33:23
405,Baykit,61.67,96.37,-21.68,79,0,2.01,RU,2021-02-15 03:33:23
406,Tiksi,71.6872,128.8694,-16.94,89,99,5.95,RU,2021-02-15 03:33:24
407,Buzmeyin,38.0507,58.2056,37.4,93,24,4.61,TM,2021-02-15 03:33:24
408,Safaga,26.7292,33.9365,60.8,59,0,12.66,EG,2021-02-15 03:33:24
409,Ca Mau,9.1769,105.15,85.96,49,31,7.58,VN,2021-02-15 03:33:24
410,Agirish,61.9247,63.0231,-16.19,89,94,5.64,RU,2021-02-15 03:33:24
411,Fredericton,45.9454,-66.6656,12.99,85,1,4.61,CA,2021-02-15 03:33:25
412,Mahajanga,-15.7167,46.3167,73.4,94,20,5.75,MG,2021-02-15 03:33:25
413,Sabang,5.8933,95.3214,83.43,74,1,17.85,ID,2021-02-15 03:33:25
414,Mercedes,-34.6515,-59.4307,72.0,90,33,1.99,AR,2021-02-15 03:33:25
415,Mandera,3.9366,41.867,72.75,71,0,4.43,KE,2021-02-15 03:33:25
416,Yuncheng,35.0231,110.9928,46.58,39,100,7.67,CN,2021-02-15 03:33:26
417,Damietta,31.4165,31.8133,57.2,67,0,5.19,EG,2021-02-15 03:33:26
418,Srednekolymsk,67.45,153.6833,-18.31,86,32,9.24,RU,2021-02-15 03:33:26
419,Sri Aman,1.2376,111.4621,82.4,78,40,2.3,MY,2021-02-15 03:33:26
420,Kidal,18.4411,1.4078,71.04,18,3,9.71,ML,2021-02-15 03:33:26
421,Nyzhni Sirohozy,46.8484,34.3804,17.91,96,58,4.59,UA,2021-02-15 03:33:26
422,Ulyanovka,59.6394,30.7647,0.0,77,40,8.95,RU,2021-02-15 03:33:26
423,Jacareacanga,-6.2222,-57.7528,72.73,97,100,0.43,BR,2021-02-15 03:33:27
424,Bureya,49.8133,129.8131,-1.35,88,94,5.97,RU,2021-02-15 03:33:27
425,Dayong,25.0209,118.2898,71.6,40,0,4.47,CN,2021-02-15 03:33:27
426,Ginda,30.6945,78.4932,57.99,31,95,0.76,IN,2021-02-15 03:33:27
427,Bathsheba,13.2167,-59.5167,78.8,65,20,23.02,BB,2021-02-15 03:33:27
428,Acarau,-2.8856,-40.12,79.27,84,100,7.83,BR,2021-02-15 03:33:27
429,Gushikawa,26.3544,127.8686,71.6,53,40,17.27,JP,2021-02-15 03:33:28
430,Syedove,47.0768,38.156,15.01,53,33,8.99,UA,2021-02-15 03:33:28
431,Maceio,-9.6658,-35.7353,75.2,94,0,2.3,BR,2021-02-15 03:33:17
432,Huron,41.1501,-82.5499,15.01,88,97,6.93,US,2021-02-15 03:33:28
433,Mersing,2.4312,103.8405,84.2,70,20,9.22,MY,2021-02-15 03:33:28
434,Nombre De Dios,23.85,-104.2333,48.0,60,61,10.0,MX,2021-02-15 03:33:29
435,Najran,17.4924,44.1277,55.4,35,0,1.43,SA,2021-02-15 03:33:29
436,Eravur,7.7733,81.6095,81.25,70,83,7.25,LK,2021-02-15 03:33:29
437,Mindelo,16.8901,-24.9804,68.0,77,20,20.71,CV,2021-02-15 03:33:29
438,Panguiranan,12.0699,123.3185,81.05,74,100,9.53,PH,2021-02-15 03:33:29
439,Tsiroanomandidy,-18.7667,46.0333,66.72,94,100,3.62,MG,2021-02-15 03:33:30
440,Honiara,-9.4333,159.95,85.05,71,84,7.56,SB,2021-02-15 03:33:30
441,Tororo,0.693,34.1809,67.5,68,17,5.99,UG,2021-02-15 03:33:30
442,Yerbogachen,61.2767,108.0108,-26.54,82,8,3.8,RU,2021-02-15 03:33:30
443,Marshall,34.3834,-86.3333,35.01,100,90,4.61,US,2021-02-15 03:31:04
444,Pecos,31.4229,-103.4932,12.2,67,90,4.61,US,2021-02-15 03:33:31
445,Geraldton,-28.7667,114.6,84.2,58,0,12.66,AU,2021-02-15 03:33:31
446,Vao,-22.6667,167.4833,80.04,75,44,6.87,NC,2021-02-15 03:33:31
447,Yermolino,55.1949,36.5951,-0.4,78,20,11.18,RU,2021-02-15 03:33:31
448,Chitral,35.8462,71.7858,41.23,48,14,7.74,PK,2021-02-15 03:31:24
449,Mayna,54.1135,47.6231,-9.71,92,44,7.92,RU,2021-02-15 03:33:31
450,Falmouth,50.1544,-5.0711,48.2,100,75,12.66,GB,2021-02-15 03:33:31
451,Yermolayevo,52.7167,55.8,-1.97,93,91,6.69,RU,2021-02-15 03:33:32
452,Rawson,-43.3002,-65.1023,58.1,64,31,15.95,AR,2021-02-15 03:33:32
453,Kungurtug,50.5994,97.5228,16.16,92,100,1.72,RU,2021-02-15 03:33:32
454,Tambovka,50.0969,128.0489,-4.0,59,0,6.71,RU,2021-02-15 03:33:32
455,Kodumudi,11.0775,77.8836,79.52,59,83,0.22,IN,2021-02-15 03:33:32
456,Daoukro,7.0591,-3.9631,72.73,97,30,3.31,CI,2021-02-15 03:33:33
457,Coihaique,-45.5752,-72.0662,50.0,66,0,4.61,CL,2021-02-15 03:33:33
