City_ID,City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
202,202,Iranshahr,27.2025,60.6848,284.15,30,0,0.72,IR,clear sky
203,203,Cochrane,51.1834,-114.4687,252.04,77,90,2.57,CA,light snow
204,204,Santiago,-33.4569,-70.6483,295.37,68,0,3.09,CL,clear sky
205,205,Ilulissat,69.2167,-51.1,270.15,33,0,11.83,GL,light snow
206,206,Mahebourg,-20.4081,57.7,298.15,83,40,2.06,MU,light rain
207,207,Cabo San Lucas,22.8909,-109.9124,295.93,53,20,3.6,MX,few clouds
208,208,Vohibinany,-17.35,49.0333,295.06,90,71,0.64,MG,broken clouds
209,209,Gao,16.6362,1.6369999999999998,295.98,18,100,4.44,ML,overcast clouds
210,210,Tallahassee,30.4383,-84.2807,283.15,93,90,4.12,US,overcast clouds
211,211,Yar-Sale,66.8333,70.8333,241.54,86,100,7.24,RU,overcast clouds
212,212,Fairview,40.8126,-73.999,278.15,36,1,2.08,US,clear sky
213,213,Filadelfia,39.9523,-75.1638,277.15,56,90,2.06,US,overcast clouds
214,214,Tugulym,57.0591,64.6425,273.15,100,90,4.0,RU,light rain and snow
215,215,Nanortalik,60.1432,-45.2371,268.8,87,100,4.33,GL,overcast clouds
216,216,Phek,25.6667,94.5,276.61,100,7,0.62,IN,clear sky
217,217,Aden,12.7794,45.0367,296.28,67,24,0.69,YE,few clouds
219,219,San Jose,37.3394,-121.895,294.26,23,20,3.09,US,few clouds
221,221,Makakilo City,21.3469,-158.0858,299.15,44,1,6.17,US,clear sky
222,222,La Ronge,55.1001,-105.2842,243.15,63,74,2.06,CA,broken clouds
223,223,Labytnangi,66.6572,66.4183,241.48,81,100,7.95,RU,overcast clouds
224,224,Asheville,35.6009,-82.554,275.15,75,90,2.57,US,light snow
225,225,Tome,-36.6167,-72.95,288.15,94,90,2.57,CL,overcast clouds
226,226,Tommot,58.9564,126.2925,245.9,82,100,0.1,RU,overcast clouds
227,227,Saint George,37.1041,-113.5841,289.26,14,1,4.63,US,clear sky
228,228,Qasigiannguit,68.8193,-51.1922,270.15,33,0,11.83,GL,light snow
229,229,Ola,59.5833,151.2833,263.28,88,100,6.26,RU,overcast clouds
230,230,Tongren,27.7172,109.1853,286.06,80,100,0.81,CN,overcast clouds
231,231,Selizharovo,56.8519,33.4487,254.72,92,100,3.7,RU,overcast clouds
232,232,Guerrero Negro,27.9769,-114.0611,291.98,47,0,5.49,MX,clear sky
233,233,Komsomolskiy,40.4272,71.7189,277.15,60,99,1.03,UZ,overcast clouds
235,235,Rio Gallegos,-51.6226,-69.2181,288.15,41,0,2.06,AR,clear sky
236,236,Brookhaven,31.5791,-90.4407,282.59,75,93,2.67,US,overcast clouds
237,237,Lerwick,60.1545,-1.1494,274.15,64,90,7.2,GB,light snow
238,238,Leh,34.1667,77.5833,257.75,49,0,0.82,IN,clear sky
239,239,Okhotsk,59.3833,143.3,255.41,86,87,8.72,RU,overcast clouds
240,240,Jieshi,22.8134,115.8257,292.04,76,0,6.25,CN,clear sky
241,241,Luanda,-8.8368,13.2343,299.15,83,40,4.12,AO,scattered clouds
242,242,Meulaboh,4.1363,96.1285,298.09,88,82,2.53,ID,broken clouds
243,243,Los Llanos De Aridane,28.6585,-17.9182,289.15,67,0,5.14,ES,clear sky
244,244,Placido De Castro,-10.3353,-67.1856,296.86,88,100,0.74,BR,overcast clouds
245,245,Tuatapere,-46.1333,167.6833,295.31,45,2,1.85,NZ,clear sky
246,246,Tiksi,71.6872,128.8694,240.93,84,100,2.17,RU,overcast clouds
247,247,Miraflores,19.2167,-98.8083,298.15,33,1,5.14,MX,clear sky
250,250,Bose,45.4612,8.0137,281.48,90,100,2.24,IT,light rain
251,251,Belyy Yar,53.6039,91.3903,258.15,85,3,1.0,RU,mist
252,252,Kruisfontein,-34.0033,24.7314,291.48,89,1,0.45,ZA,clear sky
253,253,Nikolskoye,59.7035,30.7861,261.15,79,40,7.0,RU,snow
256,256,Bethel,41.3712,-73.414,278.15,38,1,2.06,US,clear sky
257,257,Katsuura,35.1333,140.3,285.15,46,0,0.51,JP,clear sky
258,258,Victoria,22.2855,114.1577,293.71,68,0,4.15,HK,clear sky
259,259,Batsfjord,70.6345,29.7185,269.48,94,100,10.99,NO,light snow
261,261,Biryusinsk,55.9634,97.8235,264.4,94,94,2.24,RU,overcast clouds
262,262,Wanning,18.8003,110.3967,294.22,81,24,1.58,CN,few clouds
263,263,Barra Patuca,15.8,-84.2833,299.15,82,0,6.97,HN,clear sky
265,265,Nueva Gerona,21.8833,-82.8,298.67,84,0,4.81,CU,clear sky
266,266,Constitucion,-35.3333,-72.4167,287.52,87,33,2.06,CL,scattered clouds
267,267,Saint-Pierre,-21.3393,55.4781,299.15,73,75,3.09,RE,light rain
268,268,Vuktyl,63.8567,57.3094,243.62,86,100,5.41,RU,overcast clouds
269,269,Machico,32.7,-16.7667,287.15,72,40,2.57,PT,scattered clouds
270,270,Zeya,53.75,127.2667,249.03,81,0,1.46,RU,clear sky
271,271,Picota,-6.9197,-76.3304,299.15,94,75,1.03,PE,broken clouds
